Model Name             data type        Median ToE
access1.3-wrf 1970-2099      PREC95        2099.0
access1.3-wrf 1970-2099      PRECx        2099.0
bcc-csm1.1-wrf 1970-2099      PREC95        2099.0
bcc-csm1.1-wrf 1970-2099      PRECx        2099.0
bcc-csm1.1-wrf 1970-2099      T2MAX90        2015.9421
bcc-csm1.1-wrf 1970-2099      T2MAXx        2022.6871
canesm2-wrf 1970-2099      PREC95        2081.455
canesm2-wrf 1970-2099      PRECx        2095.3667
canesm2-wrf 1970-2099      T2MAX90        2004.8762
canesm2-wrf 1970-2099      T2MAXx        2011.7379
ccsm4-wrf 1970-2099      PREC95        2099.0
ccsm4-wrf 1970-2099      PRECx        2099.0
csiro-mk3.6.0-wrf 1970-2099      PREC95        2077.8203
csiro-mk3.6.0-wrf 1970-2099      PRECx        2092.5894
csiro-mk3.6.0-wrf 1970-2099      T2MAX90        2014.1609
csiro-mk3.6.0-wrf 1970-2099      T2MAXx        2020.9966
fgoals-g2-wrf 1970-2099      PREC95        2099.0
fgoals-g2-wrf 1970-2099      PRECx        2099.0
fgoals-g2-wrf 1970-2099      T2MAX90        2014.4193
fgoals-g2-wrf 1970-2099      T2MAXx        2026.1025
gfdl-cm3-wrf 1970-2099      PREC95        2099.0
gfdl-cm3-wrf 1970-2099      PRECx        2099.0
gfdl-cm3-wrf 1970-2099      T2MAX90        2008.1716
gfdl-cm3-wrf 1970-2099      T2MAXx        2013.864
giss-e2-h-wrf 1970-2099      PREC95        2099.0
giss-e2-h-wrf 1970-2099      PRECx        2099.0
giss-e2-h-wrf 1970-2099      T2MAX90        2012.366
giss-e2-h-wrf 1970-2099      T2MAXx        2020.4282
miroc5-wrf 1970-2099      PREC95        2099.0
miroc5-wrf 1970-2099      PRECx        2099.0
miroc5-wrf 1970-2099      T2MAX90        2008.48
miroc5-wrf 1970-2099      T2MAXx        2019.3169
mri-cgcm3-wrf 1970-2099      PREC95        2099.0
mri-cgcm3-wrf 1970-2099      PRECx        2099.0
mri-cgcm3-wrf 1970-2099      T2MAX90        2024.6299
mri-cgcm3-wrf 1970-2099      T2MAXx        2033.8733
noresm1-m-wrf 1970-2099      PREC95        2099.0
noresm1-m-wrf 1970-2099      PRECx        2099.0
noresm1-m-wrf 1970-2099      T2MAX90        2013.4607
noresm1-m-wrf 1970-2099      T2MAXx        2017.4069
ACCESS1-3 1970-2099      pr95        2099.0
ACCESS1-3 1970-2099      prx        2095.8445
ACCESS1-3 1970-2099      tasmax90        2016.786
ACCESS1-3 1970-2099      tasmaxx        2020.3337
bcc-csm1-1 1970-2099      pr95        2087.2598
bcc-csm1-1 1970-2099      prx        2098.3022
bcc-csm1-1 1970-2099      tasmax90        2019.1968
bcc-csm1-1 1970-2099      tasmaxx        2020.8546
CanESM2 1970-2099      pr95        2060.1487
CanESM2 1970-2099      prx        2083.7373
CanESM2 1970-2099      tasmax90        2006.6978
CanESM2 1970-2099      tasmaxx        2015.4819
CCSM4 1970-2099      pr95        2097.3542
CCSM4 1970-2099      prx        2099.0
CCSM4 1970-2099      tasmax90        2012.2697
CCSM4 1970-2099      tasmaxx        2015.6101
CSIRO-Mk3-6-0 1970-2099      pr95        2084.6987
CSIRO-Mk3-6-0 1970-2099      prx        2077.255
CSIRO-Mk3-6-0 1970-2099      tasmax90        2014.8489
CSIRO-Mk3-6-0 1970-2099      tasmaxx        2019.6434
GFDL-CM3 1970-2099      pr95        2063.9697
GFDL-CM3 1970-2099      prx        2078.7866
GFDL-CM3 1970-2099      tasmax90        2008.3999
GFDL-CM3 1970-2099      tasmaxx        2013.6206
MIROC5 1970-2099      pr95        2099.0
MIROC5 1970-2099      prx        2099.0
MIROC5 1970-2099      tasmax90        2008.2937
MIROC5 1970-2099      tasmaxx        2019.4141
NorESM1-M 1970-2099      pr95        2099.0
NorESM1-M 1970-2099      prx        2099.0
NorESM1-M 1970-2099      tasmax90        2015.4084
NorESM1-M 1970-2099      tasmaxx        2018.29
